Name,Employee ID,Service Center,Date,Reweigh Total,Reweigh Captured,Reweigh Percentage
David Ford,9977034,FTW,2023-08-04,7,3,0.43
Sean Obrien,15537511,HOU,2023-08-04,60,7,0.12
Natalie Hopkins,40497336,SHV,2023-08-04,74,52,0.7
Stacy Turner,73458833,DAL,2023-08-04,31,25,0.81
James Harris,90946995,FTW,2023-08-04,2,0,0.0
Sarah Cook,26413709,SHV,2023-08-04,2,1,0.5
Amy Escobar,24798974,SHV,2023-08-04,3,3,1.0
Latoya Salazar,67499931,OKC,2023-08-04,18,2,0.11
Brenda Anderson,19927556,SHV,2023-08-04,3,3,1.0
Rachel Williams,82865659,FTW,2023-08-04,12,3,0.25
Dana Stewart,60786305,STX,2023-08-04,5,4,0.8
Sandra Harris,96132022,DAL,2023-08-04,9,4,0.44
James Roach,20716601,STX,2023-08-04,49,35,0.71
Anna Arnold,66814478,DAL,2023-08-04,12,10,0.83
Jose Mendoza,69637807,HOU,2023-08-04,27,9,0.33
Charles Lloyd,98201322,OKC,2023-08-04,1,0,0.0
Sheryl Hill,34639709,DAL,2023-08-04,5,5,1.0
David Murray,6339396,DAL,2023-08-04,16,12,0.75
Patricia Jackson,39617078,SHV,2023-08-04,33,13,0.39
Jordan Riggs,45897467,DAL,2023-08-04,13,8,0.62
Gregory Stewart,4886122,HOU,2023-08-04,10,2,0.2
Mark Collier,9309564,OKC,2023-08-04,26,12,0.46
Lauren Singleton,42856486,STX,2023-08-04,14,5,0.36
Ronald Duarte,50493362,SHV,2023-08-04,66,45,0.68
John White,93384238,STX,2023-08-04,23,16,0.7
Sandra Hopkins,48756022,DAL,2023-08-04,23,5,0.22
Jill Perez,18947956,DAL,2023-08-04,33,19,0.58
John Jones,77743148,HOU,2023-08-04,30,27,0.9
Valerie Martinez,11650492,FTW,2023-08-04,45,40,0.89
Chelsea Maddox,66295315,STX,2023-08-04,7,5,0.71
Chase Hammond,23514686,FTW,2023-08-04,12,12,1.0
Dorothy Mcbride,83218580,DAL,2023-08-04,11,4,0.36
Barbara Ryan,17568007,DAL,2023-08-04,9,3,0.33
Lynn Hawkins,87449731,HOU,2023-08-04,0,0,
Clarence Gonzalez,2392005,HOU,2023-08-04,9,4,0.44
Anna Smith,2526554,FTW,2023-08-04,52,33,0.63
Peggy Tate,30840273,FTW,2023-08-04,7,6,0.86
Matthew Miles,88643207,FTW,2023-08-04,2,2,1.0
Ruth Hansen,26410811,OKC,2023-08-04,64,41,0.64
Melissa Jones,92375666,FTW,2023-08-04,66,48,0.73
Jose Lloyd,56962859,FTW,2023-08-04,3,2,0.67
Travis Hernandez,31868090,DAL,2023-08-04,18,15,0.83
Elaine Flores,82308356,OKC,2023-08-04,19,15,0.79
Kiara Williams,9364733,FTW,2023-08-04,4,0,0.0
Erin Johnson,47665349,HOU,2023-08-04,77,63,0.82
Kimberly Lawson,16559716,SHV,2023-08-04,61,55,0.9
Mary Watson,6002164,HOU,2023-08-04,31,31,1.0
David Newton,67750878,STX,2023-08-04,3,2,0.67
Rachel Parsons,26264579,FTW,2023-08-04,12,10,0.83
Karen Mathis,27600905,HOU,2023-08-04,14,6,0.43
Jennifer Bowman,59486462,FTW,2023-08-04,27,7,0.26
Patrick Small,39057094,HOU,2023-08-04,19,3,0.16
Jeremy Fry,1481337,STX,2023-08-04,31,26,0.84
Denise Sanchez,58873729,SHV,2023-08-04,5,0,0.0
Miranda West,46967111,STX,2023-08-04,54,38,0.7
Jose Carroll,34218855,FTW,2023-08-04,39,6,0.15
Roberto Alexander,57320968,FTW,2023-08-04,14,12,0.86
Colin King,27389471,OKC,2023-08-04,3,1,0.33
Ethan Gallegos,3536701,HOU,2023-08-04,4,1,0.25
Brittany Webb,37390235,FTW,2023-08-04,2,2,1.0
Austin Herrera,60256606,STX,2023-08-04,32,0,0.0
Bryan Pham,7886301,STX,2023-08-04,10,4,0.4
Brian Taylor,75222115,FTW,2023-08-04,2,1,0.5
Jennifer Brown,57107385,DAL,2023-08-04,11,7,0.64
Tiffany Smith,69716341,SHV,2023-08-04,64,3,0.05
Kristy Jacobs,68190334,HOU,2023-08-04,2,1,0.5
Tony Powell,20879496,DAL,2023-08-04,2,1,0.5
Brandon Moreno,4793547,DAL,2023-08-04,86,82,0.95
Anna Nelson,14325942,SHV,2023-08-04,9,5,0.56
Jacob Carr,74843235,DAL,2023-08-04,67,0,0.0
Pamela Maldonado,81354516,STX,2023-08-04,10,1,0.1
Ryan Porter,34435132,OKC,2023-08-04,12,7,0.58
Hunter Munoz,80766757,OKC,2023-08-04,16,8,0.5
James Bartlett,92131686,OKC,2023-08-04,3,1,0.33
John Woodward,43839176,DAL,2023-08-04,6,2,0.33
Tina Brown,60561543,DAL,2023-08-04,30,29,0.97
Tina Hernandez,72195856,STX,2023-08-04,3,3,1.0
Monique Ray,64606888,HOU,2023-08-04,7,4,0.57
Dave Graham,11267032,STX,2023-08-04,71,3,0.04
Timothy Mccormick,12800401,STX,2023-08-04,3,3,1.0
Adam Farmer,43978655,DAL,2023-08-04,8,2,0.25
Chris Madden,94850672,OKC,2023-08-04,2,1,0.5
Daniel Ibarra,42835825,HOU,2023-08-04,29,4,0.14
Gary Jennings,17112032,DAL,2023-08-04,7,2,0.29
Tracy Johnson,8933606,STX,2023-08-04,7,1,0.14
Sara Davis,40994287,FTW,2023-08-04,5,5,1.0
Michael Gonzales,94497229,DAL,2023-08-04,8,1,0.12
Michael Leach,87179195,STX,2023-08-04,6,1,0.17
Mark Flowers,41639238,HOU,2023-08-04,3,1,0.33
Janice Farmer,97058780,STX,2023-08-04,0,0,
Jacob Hood,31301588,FTW,2023-08-04,16,0,0.0
Elizabeth Stevenson,94871444,STX,2023-08-04,2,1,0.5
Tanner Romero,34636635,SHV,2023-08-04,0,0,
Karen Wells,69335321,FTW,2023-08-04,15,9,0.6
Erik Thompson,49016266,HOU,2023-08-04,9,9,1.0
Rhonda Brooks,13604223,OKC,2023-08-04,4,4,1.0
Brandon Harrell,33123179,SHV,2023-08-04,10,9,0.9
Caitlin George,47685118,HOU,2023-08-04,29,9,0.31
Eric Jackson,53018010,SHV,2023-08-04,36,26,0.72
Thomas Cummings,57246918,FTW,2023-08-04,14,7,0.5
Heather Fuller,16604091,STX,2023-08-04,14,5,0.36
Jimmy Ruiz,63589781,SHV,2023-08-04,6,2,0.33
Veronica Powell,36801459,OKC,2023-08-04,8,2,0.25
Wanda Stanton,4154277,STX,2023-08-04,29,17,0.59
Tami Cooke,14858504,DAL,2023-08-04,8,4,0.5
Lori Glover,31638930,FTW,2023-08-04,22,10,0.45
Cassandra Mckinney,6676986,FTW,2023-08-04,8,0,0.0
Amanda Edwards,65745320,OKC,2023-08-04,12,6,0.5
Stephanie Williams,94908655,STX,2023-08-04,10,0,0.0
Sean Jensen,35869513,OKC,2023-08-04,17,2,0.12
Vicki Lucas,12893340,DAL,2023-08-04,15,14,0.93
Chris Strong,75702629,HOU,2023-08-04,31,22,0.71
Melody Morris,47601713,STX,2023-08-04,23,6,0.26
Brent Farmer,88724736,HOU,2023-08-04,20,11,0.55
Kaitlyn Riley,59208620,FTW,2023-08-04,26,21,0.81
Hunter Woods,75028321,DAL,2023-08-04,36,33,0.92
Jared Brown,52539361,FTW,2023-08-04,54,10,0.19
Tammy Martinez,70842924,DAL,2023-08-04,0,0,
Amy Griffin,18363974,FTW,2023-08-04,47,46,0.98
Susan Carlson,16135607,OKC,2023-08-04,63,63,1.0
Aaron Gaines,52252216,SHV,2023-08-04,31,16,0.52
Jacob Mccormick,72130366,SHV,2023-08-04,2,1,0.5
Timothy Doyle,7543154,FTW,2023-08-04,41,8,0.2
Alexandria Bass,21931263,SHV,2023-08-04,9,3,0.33
Monique Davis,39583203,STX,2023-08-04,5,3,0.6
James Rhodes,91962453,FTW,2023-08-04,15,7,0.47
Matthew Sanchez,96730712,FTW,2023-08-04,13,11,0.85
Seth Tran,26028559,SHV,2023-08-04,10,1,0.1
Jacob Taylor,82557048,SHV,2023-08-04,1,0,0.0
David West,97218182,FTW,2023-08-04,7,4,0.57
Christina Hernandez,73867417,OKC,2023-08-04,3,2,0.67
James Montoya,80808297,SHV,2023-08-04,1,1,1.0
James Cook,28080912,HOU,2023-08-04,16,14,0.88
Lisa Cox,85448011,OKC,2023-08-04,2,1,0.5
James Thompson,54275980,SHV,2023-08-04,7,0,0.0
Brandy Miller,17426573,DAL,2023-08-04,2,0,0.0
Matthew Smith,33080142,STX,2023-08-04,20,15,0.75
Jeffrey Smith,83152142,STX,2023-08-04,48,5,0.1
Bobby Cummings,30700646,HOU,2023-08-04,0,0,
Sean Robertson,63184988,HOU,2023-08-04,8,1,0.12
Tammy Harris,75592235,STX,2023-08-04,19,13,0.68
Victoria Carlson,64573636,STX,2023-08-04,32,19,0.59
Ryan Brown,56185271,FTW,2023-08-04,46,2,0.04
Benjamin Stephens,34036186,DAL,2023-08-04,36,6,0.17
Douglas Nelson,7837865,OKC,2023-08-04,102,97,0.95
Monica Saunders,77624219,STX,2023-08-04,4,2,0.5
Anne French,35660979,DAL,2023-08-04,1,0,0.0
Brian Fisher,76391571,DAL,2023-08-04,17,8,0.47
Jeanne Williamson,71039737,DAL,2023-08-04,54,0,0.0
Douglas Nichols,77270999,SHV,2023-08-07,61,32,0.52
David Ford,9977034,FTW,2023-08-07,2,2,1.0
Sean Obrien,15537511,HOU,2023-08-07,3,3,1.0
Natalie Hopkins,40497336,SHV,2023-08-07,8,8,1.0
Stacy Turner,73458833,DAL,2023-08-07,1,1,1.0
James Harris,90946995,FTW,2023-08-07,32,17,0.53
Sarah Cook,26413709,SHV,2023-08-07,8,3,0.38
Amy Escobar,24798974,SHV,2023-08-07,24,1,0.04
Latoya Salazar,67499931,OKC,2023-08-07,60,11,0.18
Brenda Anderson,19927556,SHV,2023-08-07,50,5,0.1
Rachel Williams,82865659,FTW,2023-08-07,8,1,0.12
Dana Stewart,60786305,STX,2023-08-07,1,1,1.0
Sandra Harris,96132022,DAL,2023-08-07,1,1,1.0
James Roach,20716601,STX,2023-08-07,36,11,0.31
Anna Arnold,66814478,DAL,2023-08-07,10,8,0.8
Jose Mendoza,69637807,HOU,2023-08-07,0,0,
Charles Lloyd,98201322,OKC,2023-08-07,17,11,0.65
Sheryl Hill,34639709,DAL,2023-08-07,23,5,0.22
David Murray,6339396,DAL,2023-08-07,56,38,0.68
Patricia Jackson,39617078,SHV,2023-08-07,71,71,1.0
Jordan Riggs,45897467,DAL,2023-08-07,38,21,0.55
Gregory Stewart,4886122,HOU,2023-08-07,35,14,0.4
Mark Collier,9309564,OKC,2023-08-07,13,1,0.08
Lauren Singleton,42856486,STX,2023-08-07,42,16,0.38
Ronald Duarte,50493362,SHV,2023-08-07,1,1,1.0
John White,93384238,STX,2023-08-07,71,19,0.27
Sandra Hopkins,48756022,DAL,2023-08-07,4,1,0.25
Jill Perez,18947956,DAL,2023-08-07,8,2,0.25
John Jones,77743148,HOU,2023-08-07,43,39,0.91
Valerie Martinez,11650492,FTW,2023-08-07,72,44,0.61
Chelsea Maddox,66295315,STX,2023-08-07,19,6,0.32
Chase Hammond,23514686,FTW,2023-08-07,5,4,0.8
Dorothy Mcbride,83218580,DAL,2023-08-07,29,18,0.62
Barbara Ryan,17568007,DAL,2023-08-07,2,0,0.0
Lynn Hawkins,87449731,HOU,2023-08-07,11,6,0.55
Clarence Gonzalez,2392005,HOU,2023-08-07,17,13,0.76
Anna Smith,2526554,FTW,2023-08-07,13,2,0.15
Peggy Tate,30840273,FTW,2023-08-07,2,0,0.0
Matthew Miles,88643207,FTW,2023-08-07,14,5,0.36
Ruth Hansen,26410811,OKC,2023-08-07,13,0,0.0
Melissa Jones,92375666,FTW,2023-08-07,38,32,0.84
Jose Lloyd,56962859,FTW,2023-08-07,21,0,0.0
Travis Hernandez,31868090,DAL,2023-08-07,15,7,0.47
Elaine Flores,82308356,OKC,2023-08-07,8,3,0.38
Kiara Williams,9364733,FTW,2023-08-07,11,8,0.73
Erin Johnson,47665349,HOU,2023-08-07,0,0,
Kimberly Lawson,16559716,SHV,2023-08-07,52,45,0.87
Mary Watson,6002164,HOU,2023-08-07,56,20,0.36
David Newton,67750878,STX,2023-08-07,83,41,0.49
Rachel Parsons,26264579,FTW,2023-08-07,11,4,0.36
Karen Mathis,27600905,HOU,2023-08-07,48,8,0.17
Jennifer Bowman,59486462,FTW,2023-08-07,17,4,0.24
Patrick Small,39057094,HOU,2023-08-07,32,28,0.88
Jeremy Fry,1481337,STX,2023-08-07,4,1,0.25
Denise Sanchez,58873729,SHV,2023-08-07,12,4,0.33
Miranda West,46967111,STX,2023-08-07,28,4,0.14
Jose Carroll,34218855,FTW,2023-08-07,46,46,1.0
Roberto Alexander,57320968,FTW,2023-08-07,54,48,0.89
Colin King,27389471,OKC,2023-08-07,14,7,0.5
Ethan Gallegos,3536701,HOU,2023-08-07,3,1,0.33
Brittany Webb,37390235,FTW,2023-08-07,69,5,0.07
Austin Herrera,60256606,STX,2023-08-07,8,1,0.12
Bryan Pham,7886301,STX,2023-08-07,0,0,
Brian Taylor,75222115,FTW,2023-08-07,60,41,0.68
Jennifer Brown,57107385,DAL,2023-08-07,2,1,0.5
Tiffany Smith,69716341,SHV,2023-08-07,0,0,
Kristy Jacobs,68190334,HOU,2023-08-07,1,1,1.0
Tony Powell,20879496,DAL,2023-08-07,50,8,0.16
Brandon Moreno,4793547,DAL,2023-08-07,20,17,0.85
Anna Nelson,14325942,SHV,2023-08-07,1,0,0.0
Jacob Carr,74843235,DAL,2023-08-07,4,1,0.25
Pamela Maldonado,81354516,STX,2023-08-07,46,5,0.11
Ryan Porter,34435132,OKC,2023-08-07,5,2,0.4
Hunter Munoz,80766757,OKC,2023-08-07,20,16,0.8
James Bartlett,92131686,OKC,2023-08-07,29,15,0.52
John Woodward,43839176,DAL,2023-08-07,4,2,0.5
Tina Brown,60561543,DAL,2023-08-07,6,5,0.83
Tina Hernandez,72195856,STX,2023-08-07,8,6,0.75
Monique Ray,64606888,HOU,2023-08-07,28,8,0.29
Dave Graham,11267032,STX,2023-08-07,24,21,0.88
Timothy Mccormick,12800401,STX,2023-08-07,4,0,0.0
Adam Farmer,43978655,DAL,2023-08-07,10,7,0.7
Chris Madden,94850672,OKC,2023-08-07,4,1,0.25
Daniel Ibarra,42835825,HOU,2023-08-07,11,6,0.55
Gary Jennings,17112032,DAL,2023-08-07,3,1,0.33
Tracy Johnson,8933606,STX,2023-08-07,82,2,0.02
Sara Davis,40994287,FTW,2023-08-07,16,7,0.44
Michael Gonzales,94497229,DAL,2023-08-07,5,4,0.8
Michael Leach,87179195,STX,2023-08-07,7,2,0.29
Mark Flowers,41639238,HOU,2023-08-07,25,21,0.84
Janice Farmer,97058780,STX,2023-08-07,15,4,0.27
Jacob Hood,31301588,FTW,2023-08-07,19,1,0.05
Elizabeth Stevenson,94871444,STX,2023-08-07,1,1,1.0
Tanner Romero,34636635,SHV,2023-08-07,4,1,0.25
Karen Wells,69335321,FTW,2023-08-07,15,0,0.0
Erik Thompson,49016266,HOU,2023-08-07,29,20,0.69
Rhonda Brooks,13604223,OKC,2023-08-07,5,0,0.0
Brandon Harrell,33123179,SHV,2023-08-07,0,0,
Caitlin George,47685118,HOU,2023-08-07,32,1,0.03
Eric Jackson,53018010,SHV,2023-08-07,1,0,0.0
Thomas Cummings,57246918,FTW,2023-08-07,3,2,0.67
Heather Fuller,16604091,STX,2023-08-07,21,7,0.33
Jimmy Ruiz,63589781,SHV,2023-08-07,20,13,0.65
Veronica Powell,36801459,OKC,2023-08-07,0,0,
Wanda Stanton,4154277,STX,2023-08-07,21,0,0.0
Tami Cooke,14858504,DAL,2023-08-07,4,1,0.25
Lori Glover,31638930,FTW,2023-08-07,12,9,0.75
Cassandra Mckinney,6676986,FTW,2023-08-07,43,13,0.3
Amanda Edwards,65745320,OKC,2023-08-07,58,41,0.71
Stephanie Williams,94908655,STX,2023-08-07,22,19,0.86
Sean Jensen,35869513,OKC,2023-08-07,18,8,0.44
Vicki Lucas,12893340,DAL,2023-08-07,28,27,0.96
Chris Strong,75702629,HOU,2023-08-07,15,11,0.73
Melody Morris,47601713,STX,2023-08-07,30,14,0.47
Brent Farmer,88724736,HOU,2023-08-07,5,2,0.4
Kaitlyn Riley,59208620,FTW,2023-08-07,5,0,0.0
Hunter Woods,75028321,DAL,2023-08-07,12,9,0.75
Jared Brown,52539361,FTW,2023-08-07,12,7,0.58
Tammy Martinez,70842924,DAL,2023-08-07,17,0,0.0
Amy Griffin,18363974,FTW,2023-08-07,45,42,0.93
Susan Carlson,16135607,OKC,2023-08-07,17,6,0.35
Aaron Gaines,52252216,SHV,2023-08-07,4,2,0.5
Jacob Mccormick,72130366,SHV,2023-08-07,2,0,0.0
Timothy Doyle,7543154,FTW,2023-08-07,12,6,0.5
Alexandria Bass,21931263,SHV,2023-08-07,13,1,0.08
Monique Davis,39583203,STX,2023-08-07,17,9,0.53
James Rhodes,91962453,FTW,2023-08-07,28,6,0.21
Matthew Sanchez,96730712,FTW,2023-08-07,12,11,0.92
Seth Tran,26028559,SHV,2023-08-07,3,3,1.0
Jacob Taylor,82557048,SHV,2023-08-07,18,0,0.0
David West,97218182,FTW,2023-08-07,2,2,1.0
Christina Hernandez,73867417,OKC,2023-08-07,10,7,0.7
James Montoya,80808297,SHV,2023-08-07,49,26,0.53
James Cook,28080912,HOU,2023-08-07,37,16,0.43
Lisa Cox,85448011,OKC,2023-08-07,16,8,0.5
James Thompson,54275980,SHV,2023-08-07,24,9,0.38
Brandy Miller,17426573,DAL,2023-08-07,2,2,1.0
Matthew Smith,33080142,STX,2023-08-07,20,8,0.4
Jeffrey Smith,83152142,STX,2023-08-07,36,24,0.67
Bobby Cummings,30700646,HOU,2023-08-07,1,1,1.0
Sean Robertson,63184988,HOU,2023-08-07,1,0,0.0
Tammy Harris,75592235,STX,2023-08-07,18,1,0.06
Victoria Carlson,64573636,STX,2023-08-07,5,3,0.6
Ryan Brown,56185271,FTW,2023-08-07,11,7,0.64
Benjamin Stephens,34036186,DAL,2023-08-07,19,11,0.58
Douglas Nelson,7837865,OKC,2023-08-07,0,0,
Monica Saunders,77624219,STX,2023-08-07,15,0,0.0
Anne French,35660979,DAL,2023-08-07,21,7,0.33
Brian Fisher,76391571,DAL,2023-08-07,27,6,0.22
Jeanne Williamson,71039737,DAL,2023-08-07,69,29,0.42
Douglas Nichols,77270999,SHV,2023-08-08,16,3,0.19
David Ford,9977034,FTW,2023-08-08,5,5,1.0
Sean Obrien,15537511,HOU,2023-08-08,9,8,0.89
Natalie Hopkins,40497336,SHV,2023-08-08,6,0,0.0
Stacy Turner,73458833,DAL,2023-08-08,14,8,0.57
James Harris,90946995,FTW,2023-08-08,6,0,0.0
Sarah Cook,26413709,SHV,2023-08-08,44,22,0.5
Amy Escobar,24798974,SHV,2023-08-08,24,19,0.79
Latoya Salazar,67499931,OKC,2023-08-08,6,4,0.67
Brenda Anderson,19927556,SHV,2023-08-08,2,1,0.5
Rachel Williams,82865659,FTW,2023-08-08,2,2,1.0
Dana Stewart,60786305,STX,2023-08-08,1,0,0.0
Sandra Harris,96132022,DAL,2023-08-08,2,2,1.0
James Roach,20716601,STX,2023-08-08,17,17,1.0
Anna Arnold,66814478,DAL,2023-08-08,48,6,0.12
Jose Mendoza,69637807,HOU,2023-08-08,6,0,0.0
Charles Lloyd,98201322,OKC,2023-08-08,1,1,1.0
Sheryl Hill,34639709,DAL,2023-08-08,21,15,0.71
David Murray,6339396,DAL,2023-08-08,2,2,1.0
Patricia Jackson,39617078,SHV,2023-08-08,92,71,0.77
Jordan Riggs,45897467,DAL,2023-08-08,11,2,0.18
Gregory Stewart,4886122,HOU,2023-08-08,18,2,0.11
Mark Collier,9309564,OKC,2023-08-08,27,8,0.3
Lauren Singleton,42856486,STX,2023-08-08,48,23,0.48
Ronald Duarte,50493362,SHV,2023-08-08,4,1,0.25
John White,93384238,STX,2023-08-08,5,0,0.0
Sandra Hopkins,48756022,DAL,2023-08-08,19,1,0.05
Jill Perez,18947956,DAL,2023-08-08,11,9,0.82
John Jones,77743148,HOU,2023-08-08,60,39,0.65
Valerie Martinez,11650492,FTW,2023-08-08,0,0,
Chelsea Maddox,66295315,STX,2023-08-08,9,2,0.22
Chase Hammond,23514686,FTW,2023-08-08,30,25,0.83
Dorothy Mcbride,83218580,DAL,2023-08-08,2,0,0.0
Barbara Ryan,17568007,DAL,2023-08-08,29,18,0.62
Lynn Hawkins,87449731,HOU,2023-08-08,6,6,1.0
Clarence Gonzalez,2392005,HOU,2023-08-08,2,1,0.5
Anna Smith,2526554,FTW,2023-08-08,1,0,0.0
Peggy Tate,30840273,FTW,2023-08-08,41,31,0.76
Matthew Miles,88643207,FTW,2023-08-08,7,3,0.43
Ruth Hansen,26410811,OKC,2023-08-08,4,0,0.0
Melissa Jones,92375666,FTW,2023-08-08,61,46,0.75
Jose Lloyd,56962859,FTW,2023-08-08,15,12,0.8
Travis Hernandez,31868090,DAL,2023-08-08,19,13,0.68
Elaine Flores,82308356,OKC,2023-08-08,2,0,0.0
Kiara Williams,9364733,FTW,2023-08-08,2,2,1.0
Erin Johnson,47665349,HOU,2023-08-08,23,19,0.83
Kimberly Lawson,16559716,SHV,2023-08-08,18,7,0.39
Mary Watson,6002164,HOU,2023-08-08,8,2,0.25
David Newton,67750878,STX,2023-08-08,14,14,1.0
Rachel Parsons,26264579,FTW,2023-08-08,3,1,0.33
Karen Mathis,27600905,HOU,2023-08-08,18,5,0.28
Jennifer Bowman,59486462,FTW,2023-08-08,3,2,0.67
Patrick Small,39057094,HOU,2023-08-08,51,20,0.39
Jeremy Fry,1481337,STX,2023-08-08,14,13,0.93
Denise Sanchez,58873729,SHV,2023-08-08,8,5,0.62
Miranda West,46967111,STX,2023-08-08,3,1,0.33
Jose Carroll,34218855,FTW,2023-08-08,0,0,
Roberto Alexander,57320968,FTW,2023-08-08,2,0,0.0
Colin King,27389471,OKC,2023-08-08,13,2,0.15
Ethan Gallegos,3536701,HOU,2023-08-08,19,8,0.42
Brittany Webb,37390235,FTW,2023-08-08,48,33,0.69
Austin Herrera,60256606,STX,2023-08-08,6,0,0.0
Bryan Pham,7886301,STX,2023-08-08,11,1,0.09
Brian Taylor,75222115,FTW,2023-08-08,42,18,0.43
Jennifer Brown,57107385,DAL,2023-08-08,20,0,0.0
Tiffany Smith,69716341,SHV,2023-08-08,6,4,0.67
Kristy Jacobs,68190334,HOU,2023-08-08,21,14,0.67
Tony Powell,20879496,DAL,2023-08-08,24,22,0.92
Brandon Moreno,4793547,DAL,2023-08-08,6,5,0.83
Anna Nelson,14325942,SHV,2023-08-08,23,5,0.22
Jacob Carr,74843235,DAL,2023-08-08,40,27,0.68
Pamela Maldonado,81354516,STX,2023-08-08,9,2,0.22
Ryan Porter,34435132,OKC,2023-08-08,17,4,0.24
Hunter Munoz,80766757,OKC,2023-08-08,5,3,0.6
James Bartlett,92131686,OKC,2023-08-08,33,33,1.0
John Woodward,43839176,DAL,2023-08-08,31,28,0.9
Tina Brown,60561543,DAL,2023-08-08,26,19,0.73
Tina Hernandez,72195856,STX,2023-08-08,13,5,0.38
Monique Ray,64606888,HOU,2023-08-08,28,6,0.21
Dave Graham,11267032,STX,2023-08-08,3,1,0.33
Timothy Mccormick,12800401,STX,2023-08-08,10,4,0.4
Adam Farmer,43978655,DAL,2023-08-08,37,23,0.62
Chris Madden,94850672,OKC,2023-08-08,6,0,0.0
Daniel Ibarra,42835825,HOU,2023-08-08,4,3,0.75
Gary Jennings,17112032,DAL,2023-08-08,19,1,0.05
Tracy Johnson,8933606,STX,2023-08-08,1,0,0.0
Sara Davis,40994287,FTW,2023-08-08,9,3,0.33
Michael Gonzales,94497229,DAL,2023-08-08,13,0,0.0
Michael Leach,87179195,STX,2023-08-08,15,7,0.47
Mark Flowers,41639238,HOU,2023-08-08,0,0,
Janice Farmer,97058780,STX,2023-08-08,7,2,0.29
Jacob Hood,31301588,FTW,2023-08-08,5,5,1.0
Elizabeth Stevenson,94871444,STX,2023-08-08,17,4,0.24
Tanner Romero,34636635,SHV,2023-08-08,20,2,0.1
Karen Wells,69335321,FTW,2023-08-08,69,24,0.35
Erik Thompson,49016266,HOU,2023-08-08,10,8,0.8
Rhonda Brooks,13604223,OKC,2023-08-08,8,7,0.88
Brandon Harrell,33123179,SHV,2023-08-08,2,2,1.0
Caitlin George,47685118,HOU,2023-08-08,10,1,0.1
Eric Jackson,53018010,SHV,2023-08-08,23,15,0.65
Thomas Cummings,57246918,FTW,2023-08-08,15,0,0.0
Heather Fuller,16604091,STX,2023-08-08,8,3,0.38
Jimmy Ruiz,63589781,SHV,2023-08-08,21,3,0.14
Veronica Powell,36801459,OKC,2023-08-08,81,74,0.91
Wanda Stanton,4154277,STX,2023-08-08,16,14,0.88
Tami Cooke,14858504,DAL,2023-08-08,2,2,1.0
Lori Glover,31638930,FTW,2023-08-08,9,5,0.56
Cassandra Mckinney,6676986,FTW,2023-08-08,6,6,1.0
Amanda Edwards,65745320,OKC,2023-08-08,6,1,0.17
Stephanie Williams,94908655,STX,2023-08-08,25,3,0.12
Sean Jensen,35869513,OKC,2023-08-08,1,1,1.0
Vicki Lucas,12893340,DAL,2023-08-08,17,15,0.88
Chris Strong,75702629,HOU,2023-08-08,45,10,0.22
Melody Morris,47601713,STX,2023-08-08,12,3,0.25
Brent Farmer,88724736,HOU,2023-08-08,5,2,0.4
Kaitlyn Riley,59208620,FTW,2023-08-08,15,12,0.8
Hunter Woods,75028321,DAL,2023-08-08,4,4,1.0
Jared Brown,52539361,FTW,2023-08-08,7,3,0.43
Tammy Martinez,70842924,DAL,2023-08-08,28,24,0.86
Amy Griffin,18363974,FTW,2023-08-08,0,0,
Susan Carlson,16135607,OKC,2023-08-08,5,2,0.4
Aaron Gaines,52252216,SHV,2023-08-08,10,10,1.0
Jacob Mccormick,72130366,SHV,2023-08-08,18,1,0.06
Timothy Doyle,7543154,FTW,2023-08-08,2,1,0.5
Alexandria Bass,21931263,SHV,2023-08-08,10,2,0.2
Monique Davis,39583203,STX,2023-08-08,95,78,0.82
James Rhodes,91962453,FTW,2023-08-08,15,6,0.4
Matthew Sanchez,96730712,FTW,2023-08-08,9,1,0.11
Seth Tran,26028559,SHV,2023-08-08,49,12,0.24
Jacob Taylor,82557048,SHV,2023-08-08,7,6,0.86
David West,97218182,FTW,2023-08-08,74,65,0.88
Christina Hernandez,73867417,OKC,2023-08-08,4,3,0.75
James Montoya,80808297,SHV,2023-08-08,17,0,0.0
James Cook,28080912,HOU,2023-08-08,16,15,0.94
Lisa Cox,85448011,OKC,2023-08-08,15,6,0.4
James Thompson,54275980,SHV,2023-08-08,12,0,0.0
Brandy Miller,17426573,DAL,2023-08-08,15,10,0.67
Matthew Smith,33080142,STX,2023-08-08,58,14,0.24
Jeffrey Smith,83152142,STX,2023-08-08,20,20,1.0
Bobby Cummings,30700646,HOU,2023-08-08,48,20,0.42
Sean Robertson,63184988,HOU,2023-08-08,1,1,1.0
Tammy Harris,75592235,STX,2023-08-08,1,1,1.0
Victoria Carlson,64573636,STX,2023-08-08,61,7,0.11
Ryan Brown,56185271,FTW,2023-08-08,33,22,0.67
Benjamin Stephens,34036186,DAL,2023-08-08,29,27,0.93
Douglas Nelson,7837865,OKC,2023-08-08,8,1,0.12
Monica Saunders,77624219,STX,2023-08-08,5,5,1.0
Anne French,35660979,DAL,2023-08-08,15,9,0.6
Brian Fisher,76391571,DAL,2023-08-08,71,62,0.87
Jeanne Williamson,71039737,DAL,2023-08-08,16,15,0.94
Douglas Nichols,77270999,SHV,2023-08-09,6,2,0.33
David Ford,9977034,FTW,2023-08-09,46,5,0.11
