Name,Employee ID,Service Center,Date,Bills per Hour,Handled Shipments,Damaged,First Punch to Scan,First Scan to Punch,Second Punch to Scan,Second Scan to Punch,Dock Time
Douglas Nichols,77270999,SHV,2023-08-09,10.5,25,1,19,6,6,14,2.38
David Ford,9977034,FTW,2023-08-09,8.2,76,1,51,42,9,5,9.27
Sean Obrien,15537511,HOU,2023-08-09,4.5,41,2,10,15,14,22,9.11
Natalie Hopkins,40497336,SHV,2023-08-09,2.7,14,0,12,3,12,13,5.19
Stacy Turner,73458833,DAL,2023-08-09,3.1,32,0,6,5,13,17,10.32
James Harris,90946995,FTW,2023-08-09,2.3,20,1,14,7,4,17,8.7
Sarah Cook,26413709,SHV,2023-08-09,11.8,91,0,18,14,3,3,7.71
Amy Escobar,24798974,SHV,2023-08-09,6.9,40,0,4,4,8,19,5.8
Latoya Salazar,67499931,OKC,2023-08-09,10.2,120,0,13,8,16,11,11.76
Brenda Anderson,19927556,SHV,2023-08-09,10.1,96,0,13,5,5,13,9.5
Rachel Williams,82865659,FTW,2023-08-09,2.1,19,1,10,14,67,9,9.05
Dana Stewart,60786305,STX,2023-08-09,4.1,38,0,11,9,18,18,9.27
Sandra Harris,96132022,DAL,2023-08-09,8.6,49,1,17,6,32,12,5.7
James Roach,20716601,STX,2023-08-09,8.7,81,0,10,11,19,61,9.31
Anna Arnold,66814478,DAL,2023-08-09,7.5,18,1,7,8,12,8,2.4
Jose Mendoza,69637807,HOU,2023-08-09,8.0,35,1,5,2,12,19,4.38
Charles Lloyd,98201322,OKC,2023-08-09,8.9,105,0,3,18,10,6,11.8
Sheryl Hill,34639709,DAL,2023-08-09,3.2,38,0,4,17,8,19,11.88
David Murray,6339396,DAL,2023-08-09,4.9,26,0,59,40,5,17,5.31
Patricia Jackson,39617078,SHV,2023-08-09,0.6,4,0,6,11,6,15,6.67
Jordan Riggs,45897467,DAL,2023-08-09,11.6,89,1,2,13,3,13,7.67
Gregory Stewart,4886122,HOU,2023-08-09,11.1,33,0,12,18,14,2,2.97
Mark Collier,9309564,OKC,2023-08-09,2.0,14,1,11,2,17,16,7.0
Lauren Singleton,42856486,STX,2023-08-09,2.2,19,1,12,3,38,2,8.64
Ronald Duarte,50493362,SHV,2023-08-09,10.7,47,2,15,11,2,68,4.39
John White,93384238,STX,2023-08-09,11.6,75,0,16,15,13,9,6.47
Sandra Hopkins,48756022,DAL,2023-08-09,5.4,51,0,13,14,6,16,9.44
Jill Perez,18947956,DAL,2023-08-09,8.9,71,1,14,15,10,2,7.98
John Jones,77743148,HOU,2023-08-09,1.8,13,0,10,3,2,26,7.22
Valerie Martinez,11650492,FTW,2023-08-09,6.6,62,0,13,13,16,15,9.39
Chelsea Maddox,66295315,STX,2023-08-09,9.4,102,1,18,11,12,10,10.85
Chase Hammond,23514686,FTW,2023-08-09,4.7,46,0,17,18,14,18,9.79
Dorothy Mcbride,83218580,DAL,2023-08-09,7.8,16,1,19,4,12,2,2.05
Barbara Ryan,17568007,DAL,2023-08-09,6.7,69,1,16,5,11,14,10.3
Lynn Hawkins,87449731,HOU,2023-08-09,3.5,24,0,19,9,6,8,6.86
Clarence Gonzalez,2392005,HOU,2023-08-09,4.3,51,1,44,36,19,31,11.86
Anna Smith,2526554,FTW,2023-08-09,3.6,26,1,19,14,21,16,7.22
Peggy Tate,30840273,FTW,2023-08-09,10.7,55,1,10,7,8,12,5.14
Matthew Miles,88643207,FTW,2023-08-09,1.9,8,0,11,7,8,5,4.21
Ruth Hansen,26410811,OKC,2023-08-09,0.7,6,1,12,11,3,2,8.57
Melissa Jones,92375666,FTW,2023-08-09,7.2,36,1,7,4,12,17,5.0
Jose Lloyd,56962859,FTW,2023-08-09,7.7,23,1,13,6,19,6,2.99
Travis Hernandez,31868090,DAL,2023-08-09,6.7,66,1,15,11,16,6,9.85
Elaine Flores,82308356,OKC,2023-08-09,11.3,112,1,19,13,5,8,9.91
Kiara Williams,9364733,FTW,2023-08-09,6.1,57,1,8,12,10,2,9.34
Erin Johnson,47665349,HOU,2023-08-09,2.8,29,1,19,10,11,11,10.36
Kimberly Lawson,16559716,SHV,2023-08-09,11.8,41,3,13,5,3,43,3.47
Mary Watson,6002164,HOU,2023-08-09,1.7,7,1,18,11,8,10,4.12
David Newton,67750878,STX,2023-08-09,3.4,21,1,5,2,14,2,6.18
Rachel Parsons,26264579,FTW,2023-08-09,6.0,45,0,19,6,60,19,7.5
Karen Mathis,27600905,HOU,2023-08-09,3.3,27,0,14,13,13,15,8.18
Jennifer Bowman,59486462,FTW,2023-08-09,9.9,37,1,9,10,18,9,3.74
Patrick Small,39057094,HOU,2023-08-09,11.2,134,0,62,42,13,10,11.96
Jeremy Fry,1481337,STX,2023-08-09,1.4,14,0,11,18,4,8,10.0
Denise Sanchez,58873729,SHV,2023-08-09,9.7,28,0,12,3,16,15,2.89
Miranda West,46967111,STX,2023-08-09,10.5,107,1,16,3,8,16,10.19
Jose Carroll,34218855,FTW,2023-08-09,7.0,83,0,13,17,6,2,11.86
Roberto Alexander,57320968,FTW,2023-08-09,5.9,59,0,14,19,15,22,10.0
Colin King,27389471,OKC,2023-08-09,11.1,125,1,4,6,6,3,11.26
Ethan Gallegos,3536701,HOU,2023-08-09,3.0,18,1,2,13,5,9,6.0
Brittany Webb,37390235,FTW,2023-08-09,5.0,20,0,16,8,24,2,4.0
Austin Herrera,60256606,STX,2023-08-09,4.0,37,1,5,8,4,9,9.25
Bryan Pham,7886301,STX,2023-08-09,6.0,52,0,15,16,68,11,8.67
Brian Taylor,75222115,FTW,2023-08-09,5.0,23,1,7,17,2,17,4.6
Jennifer Brown,57107385,DAL,2023-08-09,9.0,28,0,4,2,12,12,3.11
Tiffany Smith,69716341,SHV,2023-08-09,1.4,14,0,4,10,19,2,10.0
Kristy Jacobs,68190334,HOU,2023-08-09,4.8,31,1,2,5,17,5,6.46
Tony Powell,20879496,DAL,2023-08-09,11.9,59,0,18,14,10,16,4.96
Brandon Moreno,4793547,DAL,2023-08-09,7.8,78,3,4,14,19,62,10.0
Anna Nelson,14325942,SHV,2023-08-09,5.7,55,0,22,56,11,7,9.65
Jacob Carr,74843235,DAL,2023-08-09,2.0,6,0,15,18,12,15,3.0
Pamela Maldonado,81354516,STX,2023-08-09,3.4,39,0,16,13,14,16,11.47
Ryan Porter,34435132,OKC,2023-08-09,7.6,69,0,12,18,12,11,9.08
Hunter Munoz,80766757,OKC,2023-08-09,0.7,5,0,9,19,5,19,7.14
James Bartlett,92131686,OKC,2023-08-09,8.7,53,1,16,9,13,12,6.09
John Woodward,43839176,DAL,2023-08-09,6.3,46,1,8,6,35,2,7.3
Tina Brown,60561543,DAL,2023-08-09,4.9,56,1,9,14,3,12,11.43
Tina Hernandez,72195856,STX,2023-08-09,11.6,74,1,18,6,4,15,6.38
Monique Ray,64606888,HOU,2023-08-09,8.5,45,1,3,5,2,6,5.29
Dave Graham,11267032,STX,2023-08-09,3.4,40,0,7,13,16,29,11.76
Timothy Mccormick,12800401,STX,2023-08-09,3.4,31,1,13,15,11,13,9.12
Adam Farmer,43978655,DAL,2023-08-09,5.9,48,0,5,14,3,10,8.14
Chris Madden,94850672,OKC,2023-08-09,8.6,78,1,6,6,7,3,9.07
Daniel Ibarra,42835825,HOU,2023-08-09,10.9,113,1,3,13,2,3,10.37
Gary Jennings,17112032,DAL,2023-08-09,8.2,47,1,16,12,56,7,5.73
Tracy Johnson,8933606,STX,2023-08-09,5.7,26,1,14,16,9,19,4.56
Sara Davis,40994287,FTW,2023-08-09,8.6,98,0,66,62,14,46,11.4
Michael Gonzales,94497229,DAL,2023-08-09,2.4,10,1,2,17,15,17,4.17
Michael Leach,87179195,STX,2023-08-09,4.6,34,1,7,6,28,12,7.39
Mark Flowers,41639238,HOU,2023-08-09,7.9,55,0,12,5,8,5,6.96
Janice Farmer,97058780,STX,2023-08-09,5.1,44,2,10,2,4,43,8.63
Jacob Hood,31301588,FTW,2023-08-09,3.1,23,1,19,8,6,14,7.42
Elizabeth Stevenson,94871444,STX,2023-08-09,3.2,27,1,17,14,14,14,8.44
Tanner Romero,34636635,SHV,2023-08-09,6.6,79,1,2,16,17,13,11.97
Karen Wells,69335321,FTW,2023-08-09,7.3,56,1,4,4,14,5,7.67
Erik Thompson,49016266,HOU,2023-08-09,3.6,13,0,10,14,18,12,3.61
Rhonda Brooks,13604223,OKC,2023-08-09,11.3,108,1,15,4,18,19,9.56
Brandon Harrell,33123179,SHV,2023-08-09,4.7,52,0,10,19,6,9,11.06
Caitlin George,47685118,HOU,2023-08-09,7.5,74,1,18,12,9,8,9.87
Eric Jackson,53018010,SHV,2023-08-09,11.1,58,1,2,16,9,10,5.23
Thomas Cummings,57246918,FTW,2023-08-09,7.5,28,1,7,16,13,13,3.73
Heather Fuller,16604091,STX,2023-08-09,5.6,59,1,12,10,34,57,10.54
Jimmy Ruiz,63589781,SHV,2023-08-09,2.7,19,1,6,2,14,17,7.04
Veronica Powell,36801459,OKC,2023-08-09,11.1,101,0,27,65,8,5,9.1
Wanda Stanton,4154277,STX,2023-08-09,4.1,34,1,19,9,4,9,8.29
Tami Cooke,14858504,DAL,2023-08-09,7.0,70,1,16,15,7,5,10.0
Lori Glover,31638930,FTW,2023-08-09,1.0,3,0,13,12,16,17,3.0
Cassandra Mckinney,6676986,FTW,2023-08-09,7.7,86,1,7,14,4,19,11.17
Amanda Edwards,65745320,OKC,2023-08-09,10.0,114,1,16,2,39,5,11.4
Stephanie Williams,94908655,STX,2023-08-09,2.6,19,1,2,8,6,11,7.31
Sean Jensen,35869513,OKC,2023-08-09,1.4,7,1,2,18,10,6,5.0
Vicki Lucas,12893340,DAL,2023-08-09,2.0,14,0,13,19,17,9,7.0
Chris Strong,75702629,HOU,2023-08-09,7.3,83,3,4,15,12,54,11.37
Melody Morris,47601713,STX,2023-08-09,6.4,54,1,6,9,7,16,8.44
Brent Farmer,88724736,HOU,2023-08-09,9.2,93,1,9,9,40,11,10.11
Kaitlyn Riley,59208620,FTW,2023-08-09,4.5,32,0,13,9,5,28,7.11
Hunter Woods,75028321,DAL,2023-08-09,9.2,99,1,10,11,13,5,10.76
Jared Brown,52539361,FTW,2023-08-09,4.3,39,0,17,7,2,10,9.07
Tammy Martinez,70842924,DAL,2023-08-09,5.1,56,0,19,9,19,13,10.98
Amy Griffin,18363974,FTW,2023-08-09,8.0,69,0,18,14,15,12,8.62
Susan Carlson,16135607,OKC,2023-08-09,11.6,81,0,52,32,7,2,6.98
Aaron Gaines,52252216,SHV,2023-08-09,3.8,40,1,4,7,18,18,10.53
Jacob Mccormick,72130366,SHV,2023-08-09,7.2,18,1,17,11,11,16,2.5
Timothy Doyle,7543154,FTW,2023-08-09,7.1,25,1,6,2,12,51,3.52
Alexandria Bass,21931263,SHV,2023-08-09,1.5,11,0,16,3,17,4,7.33
Monique Davis,39583203,STX,2023-08-09,7.7,20,0,16,15,4,2,2.6
James Rhodes,91962453,FTW,2023-08-09,2.3,22,0,7,14,19,7,9.57
Matthew Sanchez,96730712,FTW,2023-08-09,8.3,19,1,10,15,36,14,2.29
Seth Tran,26028559,SHV,2023-08-09,2.1,14,0,13,5,7,15,6.67
Jacob Taylor,82557048,SHV,2023-08-09,10.0,69,0,19,5,10,5,6.9
David West,97218182,FTW,2023-08-09,10.5,66,1,6,11,4,16,6.29
Christina Hernandez,73867417,OKC,2023-08-09,1.0,9,1,17,7,8,7,9.0
James Montoya,80808297,SHV,2023-08-09,9.3,22,1,15,15,40,10,2.37
James Cook,28080912,HOU,2023-08-09,4.7,30,0,13,16,9,9,6.38
Lisa Cox,85448011,OKC,2023-08-09,1.2,5,3,8,8,9,50,4.17
James Thompson,54275980,SHV,2023-08-09,3.6,34,0,14,15,13,5,9.44
Brandy Miller,17426573,DAL,2023-08-09,8.3,66,1,7,19,6,3,7.95
Matthew Smith,33080142,STX,2023-08-09,7.0,32,1,66,63,18,6,4.57
Jeffrey Smith,83152142,STX,2023-08-09,9.1,25,1,12,14,10,19,2.75
Bobby Cummings,30700646,HOU,2023-08-09,0.9,9,1,7,12,14,8,10.0
Sean Robertson,63184988,HOU,2023-08-09,6.1,42,1,8,4,22,2,6.89
Tammy Harris,75592235,STX,2023-08-09,9.7,62,0,16,15,19,5,6.39
Victoria Carlson,64573636,STX,2023-08-09,4.3,17,0,14,9,13,7,3.95
Ryan Brown,56185271,FTW,2023-08-09,11.0,105,1,5,14,4,18,9.55
Benjamin Stephens,34036186,DAL,2023-08-09,8.1,16,0,13,2,14,30,1.98
Douglas Nelson,7837865,OKC,2023-08-09,10.3,33,1,13,8,17,32,3.2
Monica Saunders,77624219,STX,2023-08-09,1.3,13,0,18,14,7,11,10.0
Anne French,35660979,DAL,2023-08-09,2.4,6,0,9,19,8,7,2.5
Brian Fisher,76391571,DAL,2023-08-09,10.0,109,0,6,18,10,18,10.9
Jeanne Williamson,71039737,DAL,2023-08-09,10.3,40,0,17,6,14,4,3.88
Douglas Nichols,77270999,SHV,2023-08-10,1.7,12,1,9,6,17,10,7.06
David Ford,9977034,FTW,2023-08-10,2.1,5,0,2,12,11,18,2.38
Sean Obrien,15537511,HOU,2023-08-10,11.3,31,1,18,3,13,15,2.74
Natalie Hopkins,40497336,SHV,2023-08-10,8.5,43,1,5,17,51,11,5.06
Stacy Turner,73458833,DAL,2023-08-10,2.5,9,1,69,54,10,14,3.6
James Harris,90946995,FTW,2023-08-10,7.3,16,0,12,15,10,5,2.19
Sarah Cook,26413709,SHV,2023-08-10,2.6,6,3,17,15,35,44,2.31
Amy Escobar,24798974,SHV,2023-08-10,3.9,22,0,7,12,6,18,5.64
Latoya Salazar,67499931,OKC,2023-08-10,2.0,10,1,12,2,5,4,5.0
Brenda Anderson,19927556,SHV,2023-08-10,10.5,94,1,9,12,19,3,8.95
Rachel Williams,82865659,FTW,2023-08-10,1.6,13,0,18,11,4,9,8.12
Dana Stewart,60786305,STX,2023-08-10,4.1,10,0,8,7,16,2,2.44
Sandra Harris,96132022,DAL,2023-08-10,7.8,47,1,18,11,3,7,6.03
James Roach,20716601,STX,2023-08-10,6.3,67,0,10,8,18,14,10.63
Anna Arnold,66814478,DAL,2023-08-10,3.7,23,0,7,11,17,18,6.22
Jose Mendoza,69637807,HOU,2023-08-10,3.9,18,0,5,9,19,7,4.62
Charles Lloyd,98201322,OKC,2023-08-10,5.8,55,0,13,13,38,19,9.48
Sheryl Hill,34639709,DAL,2023-08-10,10.2,119,1,2,7,9,27,11.67
David Murray,6339396,DAL,2023-08-10,2.0,18,1,11,10,14,16,9.0
Patricia Jackson,39617078,SHV,2023-08-10,3.2,18,0,10,5,16,5,5.62
Jordan Riggs,45897467,DAL,2023-08-10,8.2,48,1,13,2,2,7,5.85
Gregory Stewart,4886122,HOU,2023-08-10,3.9,41,1,32,35,19,9,10.51
Mark Collier,9309564,OKC,2023-08-10,8.5,63,0,7,2,18,13,7.41
Lauren Singleton,42856486,STX,2023-08-10,9.0,62,0,9,7,4,32,6.89
Ronald Duarte,50493362,SHV,2023-08-10,4.3,27,0,5,2,5,16,6.28
John White,93384238,STX,2023-08-10,7.9,94,1,5,7,12,18,11.9
Sandra Hopkins,48756022,DAL,2023-08-10,9.7,78,1,4,11,15,4,8.04
Jill Perez,18947956,DAL,2023-08-10,9.5,76,0,12,17,11,11,8.0
John Jones,77743148,HOU,2023-08-10,7.4,83,3,10,19,16,49,11.22
Valerie Martinez,11650492,FTW,2023-08-10,7.5,35,1,2,9,50,17,4.67
Chelsea Maddox,66295315,STX,2023-08-10,7.9,54,1,5,4,47,16,6.84
Chase Hammond,23514686,FTW,2023-08-10,9.4,106,1,13,11,12,4,11.28
Dorothy Mcbride,83218580,DAL,2023-08-10,11.2,48,1,4,13,6,15,4.29
Barbara Ryan,17568007,DAL,2023-08-10,0.9,10,1,5,17,7,12,11.11
Lynn Hawkins,87449731,HOU,2023-08-10,4.3,42,1,17,3,3,9,9.77
Clarence Gonzalez,2392005,HOU,2023-08-10,4.9,41,0,5,10,3,5,8.37
Anna Smith,2526554,FTW,2023-08-10,2.8,24,1,11,6,6,7,8.57
Peggy Tate,30840273,FTW,2023-08-10,6.7,43,1,15,7,11,17,6.42
Matthew Miles,88643207,FTW,2023-08-10,1.6,18,1,35,47,12,14,11.25
Ruth Hansen,26410811,OKC,2023-08-10,2.4,13,1,7,18,8,39,5.42
Melissa Jones,92375666,FTW,2023-08-10,10.2,104,0,9,17,6,2,10.2
Jose Lloyd,56962859,FTW,2023-08-10,2.0,16,0,16,2,16,11,8.0
Travis Hernandez,31868090,DAL,2023-08-10,8.8,42,0,19,10,67,8,4.77
Elaine Flores,82308356,OKC,2023-08-10,8.9,49,1,5,4,14,3,5.51
Kiara Williams,9364733,FTW,2023-08-10,8.1,62,0,2,19,18,2,7.65
Erin Johnson,47665349,HOU,2023-08-10,7.1,54,1,11,10,9,3,7.61
Kimberly Lawson,16559716,SHV,2023-08-10,7.5,66,0,17,4,16,4,8.8
Mary Watson,6002164,HOU,2023-08-10,3.6,37,0,11,12,12,5,10.28
David Newton,67750878,STX,2023-08-10,4.1,20,1,17,15,19,13,4.88
Rachel Parsons,26264579,FTW,2023-08-10,11.5,86,0,6,17,7,2,7.48
Karen Mathis,27600905,HOU,2023-08-10,10.5,47,2,7,9,12,32,4.48
Jennifer Bowman,59486462,FTW,2023-08-10,6.4,43,1,19,16,18,19,6.72
Patrick Small,39057094,HOU,2023-08-10,0.9,5,1,4,15,19,48,5.56
Jeremy Fry,1481337,STX,2023-08-10,6.1,61,1,4,7,7,17,10.0
Denise Sanchez,58873729,SHV,2023-08-10,2.8,19,0,15,4,62,7,6.79
Miranda West,46967111,STX,2023-08-10,9.9,89,1,34,38,62,19,8.99
Jose Carroll,34218855,FTW,2023-08-10,4.3,42,0,19,14,11,3,9.77
Roberto Alexander,57320968,FTW,2023-08-10,2.6,23,0,3,17,2,11,8.85
Colin King,27389471,OKC,2023-08-10,10.7,98,0,14,8,2,3,9.16
Ethan Gallegos,3536701,HOU,2023-08-10,7.0,39,1,5,19,2,4,5.57
Brittany Webb,37390235,FTW,2023-08-10,10.5,25,0,15,10,18,19,2.38
Austin Herrera,60256606,STX,2023-08-10,8.8,29,0,13,9,6,56,3.3
Bryan Pham,7886301,STX,2023-08-10,8.4,66,1,16,3,17,7,7.86
Brian Taylor,75222115,FTW,2023-08-10,7.8,21,0,3,9,17,4,2.69
Jennifer Brown,57107385,DAL,2023-08-10,2.6,9,0,13,16,6,11,3.46
Tiffany Smith,69716341,SHV,2023-08-10,2.7,11,0,16,15,4,16,4.07
Kristy Jacobs,68190334,HOU,2023-08-10,9.8,62,0,2,2,6,19,6.33
Tony Powell,20879496,DAL,2023-08-10,4.6,28,1,14,16,4,12,6.09
Brandon Moreno,4793547,DAL,2023-08-10,10.4,71,0,4,13,51,19,6.83
Anna Nelson,14325942,SHV,2023-08-10,2.1,5,0,5,14,6,5,2.38
Jacob Carr,74843235,DAL,2023-08-10,1.8,15,1,17,14,7,5,8.33
Pamela Maldonado,81354516,STX,2023-08-10,3.6,18,1,10,7,4,16,5.0
Ryan Porter,34435132,OKC,2023-08-10,6.4,41,3,34,60,9,38,6.41
Hunter Munoz,80766757,OKC,2023-08-10,5.2,56,0,16,10,7,9,10.77
James Bartlett,92131686,OKC,2023-08-10,4.5,25,0,7,13,6,12,5.56
John Woodward,43839176,DAL,2023-08-10,11.4,22,1,7,17,15,18,1.93
Tina Brown,60561543,DAL,2023-08-10,8.7,97,0,13,16,5,10,11.15
Tina Hernandez,72195856,STX,2023-08-10,9.9,91,0,16,16,16,10,9.19
Monique Ray,64606888,HOU,2023-08-10,4.9,39,0,17,19,28,17,7.96
Dave Graham,11267032,STX,2023-08-10,8.8,25,1,8,3,19,19,2.84
Timothy Mccormick,12800401,STX,2023-08-10,2.1,16,1,7,19,10,4,7.62
Adam Farmer,43978655,DAL,2023-08-10,11.2,91,1,15,17,25,25,8.12
Chris Madden,94850672,OKC,2023-08-10,2.8,11,0,2,19,5,3,3.93
Daniel Ibarra,42835825,HOU,2023-08-10,1.4,2,1,2,17,17,40,1.43
Gary Jennings,17112032,DAL,2023-08-10,11.4,86,0,15,14,9,2,7.54
Tracy Johnson,8933606,STX,2023-08-10,2.2,21,0,16,4,2,15,9.55
Sara Davis,40994287,FTW,2023-08-10,6.8,52,1,16,13,7,13,7.65
Michael Gonzales,94497229,DAL,2023-08-10,8.8,29,1,18,4,8,13,3.3
Michael Leach,87179195,STX,2023-08-10,4.1,9,1,8,15,15,17,2.2
Mark Flowers,41639238,HOU,2023-08-10,4.8,57,1,32,21,13,16,11.88
Janice Farmer,97058780,STX,2023-08-10,8.0,46,1,16,12,13,15,5.75
Jacob Hood,31301588,FTW,2023-08-10,2.0,6,0,19,6,8,3,3.0
Elizabeth Stevenson,94871444,STX,2023-08-10,4.8,48,1,4,11,7,8,10.0
Tanner Romero,34636635,SHV,2023-08-10,7.1,20,1,19,8,9,15,2.82
Karen Wells,69335321,FTW,2023-08-10,5.0,47,3,8,3,33,33,9.4
Erik Thompson,49016266,HOU,2023-08-10,4.7,10,0,14,19,10,8,2.13
Rhonda Brooks,13604223,OKC,2023-08-10,7.5,61,1,14,13,14,10,8.13
Brandon Harrell,33123179,SHV,2023-08-10,1.3,10,0,5,8,14,13,7.69
Caitlin George,47685118,HOU,2023-08-10,8.8,90,1,5,9,9,5,10.23
Eric Jackson,53018010,SHV,2023-08-10,2.9,26,1,15,11,11,3,8.97
Thomas Cummings,57246918,FTW,2023-08-10,4.8,31,1,15,7,16,4,6.46
Heather Fuller,16604091,STX,2023-08-10,6.4,18,1,6,13,12,19,2.81
Jimmy Ruiz,63589781,SHV,2023-08-10,3.4,38,0,2,19,41,11,11.18
Veronica Powell,36801459,OKC,2023-08-10,10.9,102,0,12,17,7,15,9.36
Wanda Stanton,4154277,STX,2023-08-10,1.6,19,0,16,6,7,5,11.88
Tami Cooke,14858504,DAL,2023-08-10,1.4,10,0,2,17,6,62,7.14
Lori Glover,31638930,FTW,2023-08-10,0.9,4,1,55,59,10,15,4.44
Cassandra Mckinney,6676986,FTW,2023-08-10,5.3,18,0,8,19,24,10,3.4
Amanda Edwards,65745320,OKC,2023-08-10,7.2,25,0,15,13,9,12,3.47
Stephanie Williams,94908655,STX,2023-08-10,4.3,17,1,13,19,14,18,3.95
Sean Jensen,35869513,OKC,2023-08-10,10.6,66,1,13,3,4,43,6.23
Vicki Lucas,12893340,DAL,2023-08-10,8.6,60,0,14,12,5,10,6.98
Chris Strong,75702629,HOU,2023-08-10,9.9,61,1,9,16,8,16,6.16
Melody Morris,47601713,STX,2023-08-10,10.9,107,1,18,5,4,4,9.82
Brent Farmer,88724736,HOU,2023-08-10,10.5,60,0,9,3,16,15,5.71
Kaitlyn Riley,59208620,FTW,2023-08-10,6.4,73,1,16,11,16,3,11.41
Hunter Woods,75028321,DAL,2023-08-10,5.3,16,2,9,18,7,60,3.02
Jared Brown,52539361,FTW,2023-08-10,5.3,53,0,10,10,15,12,10.0
Tammy Martinez,70842924,DAL,2023-08-10,10.0,61,0,3,10,9,11,6.1
Amy Griffin,18363974,FTW,2023-08-10,5.5,66,0,11,3,7,19,12.0
Susan Carlson,16135607,OKC,2023-08-10,9.7,98,1,7,16,23,6,10.1
Aaron Gaines,52252216,SHV,2023-08-10,9.2,67,1,9,14,4,17,7.28
Jacob Mccormick,72130366,SHV,2023-08-10,3.3,36,0,11,11,15,15,10.91
Timothy Doyle,7543154,FTW,2023-08-10,1.1,13,1,64,50,16,11,11.82
Alexandria Bass,21931263,SHV,2023-08-10,1.2,9,0,16,7,19,10,7.5
Monique Davis,39583203,STX,2023-08-10,11.2,74,0,17,2,14,15,6.61
James Rhodes,91962453,FTW,2023-08-10,2.0,15,0,9,7,25,15,7.5
Matthew Sanchez,96730712,FTW,2023-08-10,10.7,37,1,6,16,6,48,3.46
Seth Tran,26028559,SHV,2023-08-10,10.3,39,1,13,13,4,5,3.79
Jacob Taylor,82557048,SHV,2023-08-10,6.5,53,1,8,15,9,7,8.15
David West,97218182,FTW,2023-08-10,3.3,23,1,5,3,14,7,6.97
Christina Hernandez,73867417,OKC,2023-08-10,4.1,44,1,4,8,13,13,10.73
James Montoya,80808297,SHV,2023-08-10,6.0,22,0,19,16,8,9,3.67
James Cook,28080912,HOU,2023-08-10,8.4,30,0,11,14,68,14,3.57
Lisa Cox,85448011,OKC,2023-08-10,1.6,6,0,9,12,3,6,3.75
James Thompson,54275980,SHV,2023-08-10,3.2,9,0,16,6,12,14,2.81
Brandy Miller,17426573,DAL,2023-08-10,10.8,93,0,2,17,15,4,8.61
Matthew Smith,33080142,STX,2023-08-10,6.1,56,0,4,11,11,14,9.18
Jeffrey Smith,83152142,STX,2023-08-10,4.9,34,3,10,5,7,51,6.94
Bobby Cummings,30700646,HOU,2023-08-10,4.2,23,0,10,19,17,26,5.48
Sean Robertson,63184988,HOU,2023-08-10,10.5,110,0,36,31,4,18,10.48
Tammy Harris,75592235,STX,2023-08-10,9.0,89,0,11,6,5,9,9.89
Victoria Carlson,64573636,STX,2023-08-10,8.6,99,0,10,13,14,15,11.51
Ryan Brown,56185271,FTW,2023-08-10,6.2,57,0,3,10,4,11,9.19
Benjamin Stephens,34036186,DAL,2023-08-10,0.6,7,0,8,3,10,16,11.67
Douglas Nelson,7837865,OKC,2023-08-10,5.8,61,1,10,11,11,13,10.52
Monica Saunders,77624219,STX,2023-08-10,6.4,56,1,13,19,25,4,8.75
Anne French,35660979,DAL,2023-08-10,6.4,16,0,7,11,17,11,2.5
Brian Fisher,76391571,DAL,2023-08-10,8.1,61,1,16,8,11,8,7.53
Jeanne Williamson,71039737,DAL,2023-08-10,2.8,11,1,14,13,10,66,3.93
Douglas Nichols,77270999,SHV,2023-08-11,4.7,28,1,9,19,63,5,5.96
David Ford,9977034,FTW,2023-08-11,7.4,14,1,2,4,6,17,1.89
Sean Obrien,15537511,HOU,2023-08-11,5.8,30,0,14,2,9,16,5.17
Natalie Hopkins,40497336,SHV,2023-08-11,1.3,13,1,11,9,5,16,10.0
Stacy Turner,73458833,DAL,2023-08-11,9.1,52,1,2,14,4,18,5.71
James Harris,90946995,FTW,2023-08-11,7.1,47,0,16,8,11,6,6.62
Sarah Cook,26413709,SHV,2023-08-11,10.5,70,0,17,8,14,14,6.67
Amy Escobar,24798974,SHV,2023-08-11,1.6,14,0,60,48,6,2,8.75
Latoya Salazar,67499931,OKC,2023-08-11,5.0,46,0,8,2,19,2,9.2
Brenda Anderson,19927556,SHV,2023-08-11,2.8,8,1,7,8,46,3,2.86
Rachel Williams,82865659,FTW,2023-08-11,4.1,42,3,7,13,8,63,10.24
Dana Stewart,60786305,STX,2023-08-11,5.3,42,0,4,6,9,15,7.92
Sandra Harris,96132022,DAL,2023-08-11,3.1,12,0,19,4,11,5,3.87
James Roach,20716601,STX,2023-08-11,6.7,76,1,19,3,18,13,11.34
Anna Arnold,66814478,DAL,2023-08-11,2.0,19,1,19,10,13,3,9.5
Jose Mendoza,69637807,HOU,2023-08-11,2.9,9,0,9,6,14,8,3.1
Charles Lloyd,98201322,OKC,2023-08-11,8.0,18,1,4,10,16,3,2.25
Sheryl Hill,34639709,DAL,2023-08-11,1.3,9,0,4,3,12,17,6.92
David Murray,6339396,DAL,2023-08-11,2.3,10,1,10,19,14,61,4.35
Patricia Jackson,39617078,SHV,2023-08-11,1.3,2,0,16,14,18,13,1.54
Jordan Riggs,45897467,DAL,2023-08-11,4.5,29,1,11,11,19,10,6.44
Gregory Stewart,4886122,HOU,2023-08-11,11.2,80,1,2,16,15,66,7.14
Mark Collier,9309564,OKC,2023-08-11,9.9,114,0,17,11,55,9,11.52
